Time,Row Labels,Trips
13,53,195
13,54,619
13,55,220
13,56,354
13,57,407
13,58,1061
13,59,1923
13,6,2365
13,62,72
13,63,413
13,64,418
13,65,1050
13,66,901
13,67,737
13,68,1157
13,72,117
13,73,505
13,74,198
13,75,201
13,76,687
13,77,401
13,78,631
13,79,549
13,80,4922
13,81,120
13,82,320
13,83,437
13,84,20
13,85,161
13,86,114
13,87,696
13,88,406
13,89,143
13,90,503
13,92,517
13,93,393
13,94,570
13,95,110
13,96,415
13,97,755
13,98,581
13,99,170
14,1,1554
14,100,362
14,101,553
14,102,690
14,103,1284
14,104,549
14,105,411
14,106,1143
14,107,1262
14,108,781
14,109,294
14,110,526
14,111,572
14,112,646
14,113,827
14,114,657
14,115,219
14,116,762
14,117,1004
14,118,273
14,119,103
14,12,29
14,120,461
14,121,495
14,122,566
14,123,592
14,124,663
14,125,1488
14,126,1272
14,127,479
14,128,261
14,129,204
14,13,7
14,130,770
14,132,544
14,133,329
14,134,883
14,135,2321
14,136,1861
14,137,933
14,138,746
14,139,378
14,14,6
14,140,869
14,141,619
14,142,213
14,143,1237
14,144,1921
14,145,1389
14,146,756
14,147,267
14,148,101
14,149,9
14,15,21
14,150,99
14,151,675
14,152,1077
14,153,992
14,154,1355
14,155,1697
14,156,1738
14,157,442
14,158,316
14,159,28
14,16,50
14,160,10
14,161,616
14,162,1335
14,163,1428
14,164,772
14,165,80
14,166,824
14,167,533
14,168,544
14,169,202
14,170,762
14,171,74
14,172,612
14,173,627
14,174,1586
14,175,40
14,176,38
14,177,362
14,178,1043
14,179,417
14,180,465
14,182,529
14,183,454
14,184,646
14,185,134
14,186,163
14,187,286
14,188,354
14,189,365
14,190,1141
14,193,410
14,194,538
14,195,441
14,196,215
14,197,611
14,198,149
14,199,741
14,2,180
14,200,721
14,204,940
14,205,459
14,206,177
14,207,381
14,208,105
14,209,335
14,210,698
14,215,592
14,216,509
14,217,864
14,218,222
14,219,122
14,22,17
14,220,202
14,225,1001
14,226,1163
14,227,603
14,228,14
14,229,112
14,23,0
14,230,653
14,236,255
14,237,418
14,238,32
14,239,4
14,24,52
14,240,382
14,246,758
14,247,2125
14,248,157
14,249,174
14,25,61
14,250,5917
14,26,190
14,3,14
14,32,347
14,33,10
14,34,8
14,35,48
14,36,185
14,37,87
14,38,273
14,4,29
14,42,144
14,43,195
14,44,151
14,45,275
14,46,980
14,47,246
14,48,7563
14,5,348
14,52,339
14,53,230
14,54,647
14,55,192
14,56,375
14,57,328
14,58,983
14,59,1922
14,6,2280
14,62,72
14,63,385
14,64,387
14,65,895
14,66,779
14,67,644
14,68,1103
14,72,112
14,73,491
14,74,194
14,75,197
14,76,659
14,77,368
14,78,635
14,79,488
14,80,5027
14,81,132
14,82,333
14,83,426
14,84,18
14,85,151
14,86,128
14,87,677
14,88,388
14,89,128
14,90,469
14,92,534
14,93,367
14,94,483
14,95,114
14,96,420
14,97,685
14,98,658
14,99,154
15,1,1586
15,100,398
15,101,574
15,102,739
15,103,1358
15,104,634
15,105,424
15,106,1151
15,107,1335
15,108,674
15,109,300
15,110,632
15,111,647
15,112,678
15,113,846
15,114,681
15,115,246
15,116,810
15,117,1061
15,118,305
15,119,93
15,12,13
15,120,443
15,121,484
15,122,627
15,123,572
15,124,742
15,125,1464
15,126,1241
15,127,544
15,128,327
15,129,199
15,13,17
15,130,855
15,132,581
15,133,339
15,134,887
15,135,2391
15,136,1972
15,137,885
15,138,799
15,139,416
15,14,3
15,140,852
15,141,654
15,142,222
15,143,1281
15,144,2085
15,145,1483
15,146,804
15,147,267
15,148,104
15,149,18
15,15,23
15,150,90
15,151,714
15,152,1028
15,153,996
15,154,1360
15,155,1836
15,156,1673
15,157,458
15,158,380
15,159,29
15,16,86
15,160,13
15,161,699
15,162,1280
15,163,1373
15,164,797
15,165,112
15,166,884
15,167,544
15,168,612
15,169,218
15,170,748
15,171,103
15,172,681
15,173,629
15,174,1544
15,175,46
15,176,50
15,177,377
15,178,1036
15,179,385
15,180,464
15,182,606
15,183,469
15,184,650
15,185,120
15,186,181
15,187,293
15,188,371
15,189,342
15,190,1178
15,193,380
15,194,523
15,195,469
15,196,213
15,197,613
15,198,174
15,199,822
15,2,188
15,200,697
15,204,989
15,205,442
15,206,238
15,207,416
15,208,95
15,209,321
15,210,667
15,215,627
15,216,487
15,217,861
15,218,245
15,219,121
15,22,20
15,220,257
15,225,1029
15,226,1073
15,227,572
15,228,21
15,229,79
15,23,0
15,230,705
15,236,230
15,237,382
15,238,23
15,239,7
15,24,22
15,240,424
15,246,736
15,247,2142
15,248,172
15,249,166
15,25,39
15,250,6095
15,26,224
15,3,12
15,32,367
15,33,9
15,34,11
15,35,41
15,36,163
15,37,72
15,38,311
15,4,31
15,42,106
15,43,208
15,44,118
15,45,329
15,46,1015
15,47,221
15,48,7210
15,5,366
15,52,314
15,53,215
15,54,665
15,55,183
15,56,362
15,57,342
15,58,970
15,59,2065
15,6,2348
15,62,72
15,63,414
15,64,440
15,65,891
15,66,744
15,67,675
15,68,1128
15,72,118
15,73,503
15,74,181
15,75,231
15,76,637
15,77,386
15,78,621
15,79,546
15,80,5416
15,81,166
15,82,356
15,83,472
15,84,26
15,85,165
15,86,105
15,87,701
15,88,409
15,89,154
15,90,530
15,92,615
15,93,374
15,94,542
15,95,125
15,96,443
15,97,709
15,98,686
16,1,1895
16,100,327
16,101,584
16,102,750
16,103,1523
16,104,611
16,105,404
16,106,1220
16,107,1320
16,108,863
16,109,317
16,110,487
16,111,554
16,112,700
16,113,917
16,114,642
16,115,236
16,116,834
16,117,1052
16,118,261
16,119,104
16,12,11
16,120,433
16,121,454
16,122,559
16,123,576
16,124,733
16,125,1565
16,126,1228
16,127,531
16,128,319
16,129,222
16,13,12
16,130,810
16,132,516
16,133,308
16,134,825
16,135,2345
16,136,1888
16,137,842
16,138,848
16,139,403
16,14,9
16,140,879
16,141,684
16,142,173
16,143,1255
16,144,2141
16,145,1489
16,146,820
16,147,284
16,148,120
16,149,18
16,15,27
16,150,76
16,151,635
16,152,1136
16,153,1129
16,154,1525
16,155,1978
16,156,1885
16,157,498
16,158,397
16,159,19
16,16,96
16,160,11
16,161,708
16,162,1368
16,163,1435
16,164,781
16,165,123
16,166,910
16,167,579
16,168,646
16,169,207
16,170,768
16,171,109
16,172,654
16,173,644
16,174,1665
16,175,57
16,176,71
16,177,342
16,178,1080
16,179,418
16,180,522
16,182,546
16,183,486
16,184,652
16,185,98
16,186,132
16,187,310
16,188,415
16,189,323
16,190,1122
16,193,424
16,194,584
16,195,434
16,196,197
16,197,657
16,198,191
16,199,1007
16,2,203
16,200,721
16,204,972
16,205,463
16,206,224
16,207,424
16,208,161
16,209,332
16,210,673
16,215,581
16,216,491
16,217,942
16,218,228
16,219,127
16,22,23
16,220,246
16,225,941
16,226,1091
16,227,611
16,228,26
16,229,95
16,23,1
16,230,677
16,236,243
16,237,380
16,238,35
16,239,8
16,24,59
16,240,447
16,246,706
16,247,2146
16,248,204
16,249,155
16,25,43
16,250,5431
16,26,256
16,3,13
16,32,318
16,33,3
16,34,9
16,35,40
16,36,184
16,37,113
16,38,345
16,4,33
16,42,118
16,43,226
16,44,123
16,45,291
16,46,1167
16,47,249
16,48,7434
16,5,382
16,52,314
16,53,196
16,54,658
16,55,215
16,56,441
16,57,359
16,58,1118
16,59,2195
16,6,2453
16,62,74
16,63,370
16,64,447
16,65,954
16,66,866
16,67,590
16,68,1222
16,72,109
16,73,463
16,74,200
16,75,196
16,76,586
16,77,360
16,78,739
16,79,568
16,80,5414
16,81,168
16,82,354
16,83,494
16,84,22
16,85,184
16,86,130
16,87,759
16,88,425
16,89,167
16,90,532
16,92,635
16,93,427
16,94,543
16,95,112
16,96,472
16,97,725
16,98,632
16,99,159
17,1,1958
17,100,272
17,101,669
17,102,833
17,103,1815
17,104,529
17,105,388
17,106,1265
17,107,1474
17,108,815
17,109,262
17,110,376
17,111,477
17,112,761
17,113,958
17,114,582
